2025/07/31 13:23:21 CONFIG_SYNC: Version: 1.8.1-rh-1
2025/07/31 13:23:21 CONFIG_SYNC: Waiting for Skupper router to be ready
2025/07/31 13:23:26 CONFIG_SYNC: Starting collector...
2025/07/31 14:04:57 Bridge config is synchronised
2025/07/31 14:05:27 Bridge config is synchronised
2025/07/31 14:05:57 Bridge config is synchronised
2025/07/31 14:06:27 Bridge config is synchronised
2025/07/31 14:06:57 Bridge config is synchronised
2025/07/31 14:07:27 Bridge config is synchronised
2025/07/31 14:07:57 Bridge config is synchronised
2025/07/31 14:08:27 Bridge config is synchronised
2025/07/31 14:08:57 Bridge config is synchronised
2025/07/31 14:09:27 Bridge config is synchronised
2025/07/31 14:09:57 Bridge config is synchronised
2025/07/31 14:10:27 Bridge config is synchronised
2025/07/31 14:10:57 Bridge config is synchronised
2025/07/31 14:11:27 Bridge config is synchronised
2025/07/31 14:11:57 Bridge config is synchronised
2025/07/31 14:12:27 Bridge config is synchronised
2025/07/31 14:12:57 Bridge config is synchronised
2025/07/31 14:13:27 Bridge config is synchronised
2025/07/31 14:13:57 Bridge config is synchronised
2025/07/31 14:14:27 Bridge config is synchronised
2025/07/31 14:14:57 Bridge config is synchronised
2025/07/31 14:15:27 Bridge config is synchronised
2025/07/31 14:15:57 Bridge config is synchronised
2025/07/31 14:16:27 Bridge config is synchronised
2025/07/31 14:16:57 Bridge config is synchronised
2025/07/31 14:17:27 Bridge config is synchronised
2025/07/31 14:17:57 Bridge config is synchronised
2025/07/31 14:18:27 Bridge config is synchronised
2025/07/31 14:18:57 Bridge config is synchronised
2025/07/31 14:19:27 Bridge config is synchronised
2025/07/31 14:19:57 Bridge config is synchronised
2025/07/31 14:20:27 Bridge config is synchronised
2025/07/31 14:20:57 Bridge config is synchronised
2025/07/31 14:21:27 Bridge config is synchronised
2025/07/31 14:21:57 Bridge config is synchronised
2025/07/31 14:22:27 Bridge config is synchronised
2025/07/31 14:22:57 Bridge config is synchronised
2025/07/31 14:23:27 Bridge config is synchronised
2025/07/31 14:23:57 Bridge config is synchronised
2025/07/31 14:24:27 Bridge config is synchronised
2025/07/31 14:24:57 Bridge config is synchronised
2025/07/31 14:25:27 Bridge config is synchronised
2025/07/31 14:25:57 Bridge config is synchronised
2025/07/31 14:26:27 Bridge config is synchronised
2025/07/31 14:26:57 Bridge config is synchronised
2025/07/31 14:27:27 Bridge config is synchronised
2025/07/31 14:27:57 Bridge config is synchronised
2025/07/31 14:28:27 Bridge config is synchronised
2025/07/31 14:28:57 Bridge config is synchronised
2025/07/31 14:29:27 Bridge config is synchronised
2025/07/31 14:29:57 Bridge config is synchronised
2025/07/31 14:30:27 Bridge config is synchronised
2025/07/31 14:30:57 Bridge config is synchronised
2025/07/31 14:31:27 Bridge config is synchronised
2025/07/31 14:31:57 Bridge config is synchronised
2025/07/31 14:32:27 Bridge config is synchronised
2025/07/31 14:32:57 Bridge config is synchronised
2025/07/31 14:33:27 Bridge config is synchronised
2025/07/31 14:33:57 Bridge config is synchronised
2025/07/31 14:34:27 Bridge config is synchronised
2025/07/31 14:34:57 Bridge config is synchronised
2025/07/31 14:35:27 Bridge config is synchronised
2025/07/31 14:35:57 Bridge config is synchronised
2025/07/31 14:36:27 Bridge config is synchronised
2025/07/31 14:36:57 Bridge config is synchronised
2025/07/31 14:37:27 Bridge config is synchronised
2025/07/31 14:37:57 Bridge config is synchronised
2025/07/31 14:38:27 Bridge config is synchronised
2025/07/31 14:38:57 Bridge config is synchronised
2025/07/31 14:39:27 Bridge config is synchronised
2025/07/31 14:39:57 Bridge config is synchronised
2025/07/31 14:40:27 Bridge config is synchronised
2025/07/31 14:40:57 Bridge config is synchronised
2025/07/31 14:41:27 Bridge config is synchronised
2025/07/31 14:41:57 Bridge config is synchronised
2025/07/31 14:42:27 Bridge config is synchronised
2025/07/31 14:42:57 Bridge config is synchronised
2025/07/31 14:43:27 Bridge config is synchronised
2025/07/31 14:43:57 Bridge config is synchronised
2025/07/31 14:44:27 Bridge config is synchronised
2025/07/31 14:44:57 Bridge config is synchronised
2025/07/31 14:45:27 Bridge config is synchronised
2025/07/31 14:45:57 Bridge config is synchronised
2025/07/31 14:46:27 Bridge config is synchronised
2025/07/31 14:46:57 Bridge config is synchronised
2025/07/31 14:47:27 Bridge config is synchronised
2025/07/31 14:47:57 Bridge config is synchronised
2025/07/31 14:48:27 Bridge config is synchronised
2025/07/31 14:48:57 Bridge config is synchronised
2025/07/31 14:49:27 Bridge config is synchronised
2025/07/31 14:49:57 Bridge config is synchronised
2025/07/31 14:50:27 Bridge config is synchronised
2025/07/31 14:50:57 Bridge config is synchronised
2025/07/31 14:51:27 Bridge config is synchronised
2025/07/31 14:51:57 Bridge config is synchronised
2025/07/31 14:52:27 Bridge config is synchronised
2025/07/31 14:52:57 Bridge config is synchronised
2025/07/31 14:53:27 Bridge config is synchronised
2025/07/31 14:53:57 Bridge config is synchronised
2025/07/31 14:54:27 Bridge config is synchronised
2025/07/31 14:54:57 Bridge config is synchronised
2025/07/31 14:55:27 Bridge config is synchronised
2025/07/31 14:55:57 Bridge config is synchronised
2025/07/31 14:56:27 Bridge config is synchronised
2025/07/31 14:56:57 Bridge config is synchronised
2025/07/31 14:57:27 Bridge config is synchronised
2025/07/31 14:57:57 Bridge config is synchronised
2025/07/31 14:58:27 Bridge config is synchronised
2025/07/31 14:58:57 Bridge config is synchronised
2025/07/31 14:59:27 Bridge config is synchronised
2025/07/31 14:59:57 Bridge config is synchronised
2025/07/31 15:00:27 Bridge config is synchronised
2025/07/31 15:00:57 Bridge config is synchronised
2025/07/31 15:01:27 Bridge config is synchronised
2025/07/31 15:01:57 Bridge config is synchronised
2025/07/31 15:02:27 Bridge config is synchronised
2025/07/31 15:02:57 Bridge config is synchronised
2025/07/31 15:03:27 Bridge config is synchronised
2025/07/31 15:03:57 Bridge config is synchronised
2025/07/31 15:04:27 Bridge config is synchronised
2025/07/31 15:04:57 Bridge config is synchronised
2025/07/31 15:05:27 Bridge config is synchronised
2025/07/31 15:05:57 Bridge config is synchronised
2025/07/31 15:06:27 Bridge config is synchronised
2025/07/31 15:06:57 Bridge config is synchronised
2025/07/31 15:07:27 Bridge config is synchronised
2025/07/31 15:07:57 Bridge config is synchronised
2025/07/31 15:08:27 Bridge config is synchronised
2025/07/31 15:08:57 Bridge config is synchronised
2025/07/31 15:09:27 Bridge config is synchronised
2025/07/31 15:09:57 Bridge config is synchronised
2025/07/31 15:10:27 Bridge config is synchronised
2025/07/31 15:10:57 Bridge config is synchronised
2025/07/31 15:11:27 Bridge config is synchronised
2025/07/31 15:11:57 Bridge config is synchronised
2025/07/31 15:12:27 Bridge config is synchronised
2025/07/31 15:12:57 Bridge config is synchronised
2025/07/31 15:13:27 Bridge config is synchronised
2025/07/31 15:13:57 Bridge config is synchronised
2025/07/31 15:14:27 Bridge config is synchronised
2025/07/31 15:14:57 Bridge config is synchronised
2025/07/31 15:15:27 Bridge config is synchronised
2025/07/31 15:15:57 Bridge config is synchronised
2025/07/31 15:16:27 Bridge config is synchronised
2025/07/31 15:16:57 Bridge config is synchronised
2025/07/31 15:17:27 Bridge config is synchronised
2025/07/31 15:17:57 Bridge config is synchronised
2025/07/31 15:18:27 Bridge config is synchronised
2025/07/31 15:18:57 Bridge config is synchronised
2025/07/31 15:19:27 Bridge config is synchronised
2025/07/31 15:19:57 Bridge config is synchronised
2025/07/31 15:20:27 Bridge config is synchronised
2025/07/31 15:20:57 Bridge config is synchronised
2025/07/31 15:21:27 Bridge config is synchronised
2025/07/31 15:21:57 Bridge config is synchronised
2025/07/31 15:22:27 Bridge config is synchronised
2025/07/31 15:22:57 Bridge config is synchronised
2025/07/31 15:23:27 Bridge config is synchronised
2025/07/31 15:23:57 Bridge config is synchronised
2025/07/31 15:24:27 Bridge config is synchronised
2025/07/31 15:24:57 Bridge config is synchronised
2025/07/31 15:25:27 Bridge config is synchronised
2025/07/31 15:25:57 Bridge config is synchronised
2025/07/31 15:26:27 Bridge config is synchronised
2025/07/31 15:26:57 Bridge config is synchronised
2025/07/31 15:27:27 Bridge config is synchronised
2025/07/31 15:27:57 Bridge config is synchronised
2025/07/31 15:28:27 Bridge config is synchronised
2025/07/31 15:28:57 Bridge config is synchronised
2025/07/31 15:29:27 Bridge config is synchronised
2025/07/31 15:29:57 Bridge config is synchronised
2025/07/31 15:30:27 Bridge config is synchronised
2025/07/31 15:30:57 Bridge config is synchronised
2025/07/31 15:31:27 Bridge config is synchronised
2025/07/31 15:31:57 Bridge config is synchronised
2025/07/31 15:32:27 Bridge config is synchronised
2025/07/31 15:32:57 Bridge config is synchronised
2025/07/31 15:33:27 Bridge config is synchronised
2025/07/31 15:33:57 Bridge config is synchronised
2025/07/31 15:34:27 Bridge config is synchronised
2025/07/31 15:34:57 Bridge config is synchronised
2025/07/31 15:35:27 Bridge config is synchronised
2025/07/31 15:35:57 Bridge config is synchronised
2025/07/31 15:36:27 Bridge config is synchronised
2025/07/31 15:36:57 Bridge config is synchronised
2025/07/31 15:37:27 Bridge config is synchronised
2025/07/31 15:37:57 Bridge config is synchronised
2025/07/31 15:38:27 Bridge config is synchronised
2025/07/31 15:38:57 Bridge config is synchronised
2025/07/31 15:39:27 Bridge config is synchronised
2025/07/31 15:39:57 Bridge config is synchronised
2025/07/31 15:40:27 Bridge config is synchronised
2025/07/31 15:40:57 Bridge config is synchronised
2025/07/31 15:41:27 Bridge config is synchronised
2025/07/31 15:41:57 Bridge config is synchronised
2025/07/31 15:42:27 Bridge config is synchronised
2025/07/31 15:42:57 Bridge config is synchronised
2025/07/31 15:43:27 Bridge config is synchronised
2025/07/31 15:43:57 Bridge config is synchronised
2025/07/31 15:44:27 Bridge config is synchronised
2025/07/31 15:44:57 Bridge config is synchronised
2025/07/31 15:45:27 Bridge config is synchronised
2025/07/31 15:45:57 Bridge config is synchronised
2025/07/31 15:46:27 Bridge config is synchronised
2025/07/31 15:46:57 Bridge config is synchronised
2025/07/31 15:47:27 Bridge config is synchronised
2025/07/31 15:47:57 Bridge config is synchronised
2025/07/31 15:48:27 Bridge config is synchronised
2025/07/31 15:48:57 Bridge config is synchronised
2025/07/31 15:49:27 Bridge config is synchronised
2025/07/31 15:49:57 Bridge config is synchronised
2025/07/31 15:50:27 Bridge config is synchronised
2025/07/31 15:50:57 Bridge config is synchronised
2025/07/31 15:51:27 Bridge config is synchronised
2025/07/31 15:51:57 Bridge config is synchronised
2025/07/31 15:52:27 Bridge config is synchronised
2025/07/31 15:52:57 Bridge config is synchronised
2025/07/31 15:53:27 Bridge config is synchronised
2025/07/31 15:53:57 Bridge config is synchronised
2025/07/31 15:54:27 Bridge config is synchronised
2025/07/31 15:54:57 Bridge config is synchronised
2025/07/31 15:55:27 Bridge config is synchronised
2025/07/31 15:55:57 Bridge config is synchronised
2025/07/31 15:56:27 Bridge config is synchronised
2025/07/31 15:56:57 Bridge config is synchronised
2025/07/31 15:57:27 Bridge config is synchronised
2025/07/31 15:57:57 Bridge config is synchronised
2025/07/31 15:58:27 Bridge config is synchronised
2025/07/31 15:58:57 Bridge config is synchronised
2025/07/31 15:59:27 Bridge config is synchronised
2025/07/31 15:59:57 Bridge config is synchronised
2025/07/31 16:00:27 Bridge config is synchronised
2025/07/31 16:00:57 Bridge config is synchronised
2025/07/31 16:01:27 Bridge config is synchronised
2025/07/31 16:01:57 Bridge config is synchronised
2025/07/31 16:02:27 Bridge config is synchronised
2025/07/31 16:02:57 Bridge config is synchronised
2025/07/31 16:03:27 Bridge config is synchronised
2025/07/31 16:03:57 Bridge config is synchronised
2025/07/31 16:04:27 Bridge config is synchronised
2025/07/31 16:04:57 Bridge config is synchronised
2025/07/31 16:05:27 Bridge config is synchronised
2025/07/31 16:05:57 Bridge config is synchronised
2025/07/31 16:06:27 Bridge config is synchronised
2025/07/31 16:06:57 Bridge config is synchronised
2025/07/31 16:07:27 Bridge config is synchronised
2025/07/31 16:07:57 Bridge config is synchronised
2025/07/31 16:08:27 Bridge config is synchronised
2025/07/31 16:08:57 Bridge config is synchronised
2025/07/31 16:09:27 Bridge config is synchronised
2025/07/31 16:09:57 Bridge config is synchronised
2025/07/31 16:10:27 Bridge config is synchronised
2025/07/31 16:10:57 Bridge config is synchronised
2025/07/31 16:11:27 Bridge config is synchronised
2025/07/31 16:11:57 Bridge config is synchronised
2025/07/31 16:12:27 Bridge config is synchronised
2025/07/31 16:12:57 Bridge config is synchronised
2025/07/31 16:13:27 Bridge config is synchronised
2025/07/31 16:13:57 Bridge config is synchronised
2025/07/31 16:14:27 Bridge config is synchronised
2025/07/31 16:14:57 Bridge config is synchronised
2025/07/31 16:15:27 Bridge config is synchronised
2025/07/31 16:15:57 Bridge config is synchronised
2025/07/31 16:16:27 Bridge config is synchronised
2025/07/31 16:16:57 Bridge config is synchronised
2025/07/31 16:17:27 Bridge config is synchronised
2025/07/31 16:17:57 Bridge config is synchronised
2025/07/31 16:18:27 Bridge config is synchronised
2025/07/31 16:18:57 Bridge config is synchronised
2025/07/31 16:19:27 Bridge config is synchronised
2025/07/31 16:19:57 Bridge config is synchronised
2025/07/31 16:20:27 Bridge config is synchronised
2025/07/31 16:20:57 Bridge config is synchronised
2025/07/31 16:21:27 Bridge config is synchronised
2025/07/31 16:21:57 Bridge config is synchronised
2025/07/31 16:22:27 Bridge config is synchronised
2025/07/31 16:22:57 Bridge config is synchronised
2025/07/31 16:23:27 Bridge config is synchronised
2025/07/31 16:23:57 Bridge config is synchronised
2025/07/31 16:24:27 Bridge config is synchronised
2025/07/31 16:24:57 Bridge config is synchronised
2025/07/31 16:25:27 Bridge config is synchronised
2025/07/31 16:25:57 Bridge config is synchronised
2025/07/31 16:26:27 Bridge config is synchronised
2025/07/31 16:26:57 Bridge config is synchronised
2025/07/31 16:27:27 Bridge config is synchronised
2025/07/31 16:27:57 Bridge config is synchronised
2025/07/31 16:28:27 Bridge config is synchronised
2025/07/31 16:28:57 Bridge config is synchronised
2025/07/31 16:29:27 Bridge config is synchronised
2025/07/31 16:29:57 Bridge config is synchronised
2025/07/31 16:30:27 Bridge config is synchronised
2025/07/31 16:30:57 Bridge config is synchronised
2025/07/31 16:31:27 Bridge config is synchronised
2025/07/31 16:31:57 Bridge config is synchronised
2025/07/31 16:32:27 Bridge config is synchronised
2025/07/31 16:32:57 Bridge config is synchronised
2025/07/31 16:33:27 Bridge config is synchronised
2025/07/31 16:33:57 Bridge config is synchronised
2025/07/31 16:34:27 Bridge config is synchronised
2025/07/31 16:34:57 Bridge config is synchronised
2025/07/31 16:35:27 Bridge config is synchronised
2025/07/31 16:35:57 Bridge config is synchronised
2025/07/31 16:36:27 Bridge config is synchronised
2025/07/31 16:36:57 Bridge config is synchronised
2025/07/31 16:37:27 Bridge config is synchronised
2025/07/31 16:37:57 Bridge config is synchronised
2025/07/31 16:38:27 Bridge config is synchronised
2025/07/31 16:38:57 Bridge config is synchronised
2025/07/31 16:39:27 Bridge config is synchronised
2025/07/31 16:39:57 Bridge config is synchronised
2025/07/31 16:40:27 Bridge config is synchronised
2025/07/31 16:40:57 Bridge config is synchronised
2025/07/31 16:41:27 Bridge config is synchronised
2025/07/31 16:41:57 Bridge config is synchronised
2025/07/31 16:42:27 Bridge config is synchronised
2025/07/31 16:42:57 Bridge config is synchronised
2025/07/31 16:43:27 Bridge config is synchronised
2025/07/31 16:43:57 Bridge config is synchronised
2025/07/31 16:44:27 Bridge config is synchronised
2025/07/31 16:44:57 Bridge config is synchronised
2025/07/31 16:45:27 Bridge config is synchronised
2025/07/31 16:45:57 Bridge config is synchronised
2025/07/31 16:46:27 Bridge config is synchronised
2025/07/31 16:46:57 Bridge config is synchronised
2025/07/31 16:47:27 Bridge config is synchronised
2025/07/31 16:47:57 Bridge config is synchronised
2025/07/31 16:48:27 Bridge config is synchronised
2025/07/31 16:48:57 Bridge config is synchronised
2025/07/31 16:49:27 Bridge config is synchronised
2025/07/31 16:49:57 Bridge config is synchronised
2025/07/31 16:50:27 Bridge config is synchronised
2025/07/31 16:50:57 Bridge config is synchronised
2025/07/31 16:51:27 Bridge config is synchronised
2025/07/31 16:51:57 Bridge config is synchronised
2025/07/31 16:52:27 Bridge config is synchronised
2025/07/31 16:52:57 Bridge config is synchronised
2025/07/31 16:53:27 Bridge config is synchronised
2025/07/31 16:53:57 Bridge config is synchronised
2025/07/31 16:54:27 Bridge config is synchronised
2025/07/31 16:54:57 Bridge config is synchronised
2025/07/31 16:55:27 Bridge config is synchronised
2025/07/31 16:55:57 Bridge config is synchronised
2025/07/31 16:56:27 Bridge config is synchronised
2025/07/31 16:56:57 Bridge config is synchronised
2025/07/31 16:57:27 Bridge config is synchronised
2025/07/31 16:57:57 Bridge config is synchronised
2025/07/31 16:58:27 Bridge config is synchronised
2025/07/31 16:58:57 Bridge config is synchronised
2025/07/31 16:59:27 Bridge config is synchronised
2025/07/31 16:59:57 Bridge config is synchronised
2025/07/31 17:00:27 Bridge config is synchronised
2025/07/31 17:00:57 Bridge config is synchronised
2025/07/31 17:01:27 Bridge config is synchronised
2025/07/31 17:01:57 Bridge config is synchronised
2025/07/31 17:02:27 Bridge config is synchronised
2025/07/31 17:02:57 Bridge config is synchronised
2025/07/31 17:03:27 Bridge config is synchronised
2025/07/31 17:03:57 Bridge config is synchronised
2025/07/31 17:04:27 Bridge config is synchronised
2025/07/31 17:04:57 Bridge config is synchronised
2025/07/31 17:05:27 Bridge config is synchronised
2025/07/31 17:05:57 Bridge config is synchronised
2025/07/31 17:06:27 Bridge config is synchronised
2025/07/31 17:06:57 Bridge config is synchronised
2025/07/31 17:07:27 Bridge config is synchronised
2025/07/31 17:07:57 Bridge config is synchronised
2025/07/31 17:08:27 Bridge config is synchronised
2025/07/31 17:08:57 Bridge config is synchronised
2025/07/31 17:09:27 Bridge config is synchronised
2025/07/31 17:09:57 Bridge config is synchronised
2025/07/31 17:10:27 Bridge config is synchronised
2025/07/31 17:10:57 Bridge config is synchronised
2025/07/31 17:11:27 Bridge config is synchronised
2025/07/31 17:11:57 Bridge config is synchronised
2025/07/31 17:12:27 Bridge config is synchronised
2025/07/31 17:12:57 Bridge config is synchronised
2025/07/31 17:13:27 Bridge config is synchronised
2025/07/31 17:13:57 Bridge config is synchronised
2025/07/31 17:14:27 Bridge config is synchronised
2025/07/31 17:14:57 Bridge config is synchronised
2025/07/31 17:15:27 Bridge config is synchronised
2025/07/31 17:15:57 Bridge config is synchronised
2025/07/31 17:16:27 Bridge config is synchronised
2025/07/31 17:16:57 Bridge config is synchronised
2025/07/31 17:17:27 Bridge config is synchronised
2025/07/31 17:17:57 Bridge config is synchronised
2025/07/31 17:18:27 Bridge config is synchronised
2025/07/31 17:18:57 Bridge config is synchronised
2025/07/31 17:19:27 Bridge config is synchronised
2025/07/31 17:19:57 Bridge config is synchronised
2025/07/31 17:20:27 Bridge config is synchronised
2025/07/31 17:20:57 Bridge config is synchronised
2025/07/31 17:21:27 Bridge config is synchronised
2025/07/31 17:21:57 Bridge config is synchronised
2025/07/31 17:22:27 Bridge config is synchronised
2025/07/31 17:22:57 Bridge config is synchronised
2025/07/31 17:23:27 Bridge config is synchronised
2025/07/31 17:23:57 Bridge config is synchronised
2025/07/31 17:24:27 Bridge config is synchronised
2025/07/31 17:24:57 Bridge config is synchronised
2025/07/31 17:25:27 Bridge config is synchronised
2025/07/31 17:25:57 Bridge config is synchronised
2025/07/31 17:26:27 Bridge config is synchronised
2025/07/31 17:26:57 Bridge config is synchronised
2025/07/31 17:27:27 Bridge config is synchronised
2025/07/31 17:27:57 Bridge config is synchronised
2025/07/31 17:28:27 Bridge config is synchronised
2025/07/31 17:28:57 Bridge config is synchronised
2025/07/31 17:29:27 Bridge config is synchronised
2025/07/31 17:29:57 Bridge config is synchronised
2025/07/31 17:30:27 Bridge config is synchronised
2025/07/31 17:30:57 Bridge config is synchronised
2025/07/31 17:31:27 Bridge config is synchronised
2025/07/31 17:31:57 Bridge config is synchronised
2025/07/31 17:32:27 Bridge config is synchronised
2025/07/31 17:32:57 Bridge config is synchronised
2025/07/31 17:33:27 Bridge config is synchronised
2025/07/31 17:33:57 Bridge config is synchronised
2025/07/31 17:34:27 Bridge config is synchronised
2025/07/31 17:34:57 Bridge config is synchronised
2025/07/31 17:35:27 Bridge config is synchronised
2025/07/31 17:35:57 Bridge config is synchronised
2025/07/31 17:36:27 Bridge config is synchronised
2025/07/31 17:36:57 Bridge config is synchronised
2025/07/31 17:37:27 Bridge config is synchronised
2025/07/31 17:37:57 Bridge config is synchronised
2025/07/31 17:38:27 Bridge config is synchronised
2025/07/31 17:38:57 Bridge config is synchronised
2025/07/31 17:39:27 Bridge config is synchronised
2025/07/31 17:39:57 Bridge config is synchronised
2025/07/31 17:40:27 Bridge config is synchronised
2025/07/31 17:40:57 Bridge config is synchronised
2025/07/31 17:41:27 Bridge config is synchronised
2025/07/31 17:41:57 Bridge config is synchronised
2025/07/31 17:42:27 Bridge config is synchronised
2025/07/31 17:42:57 Bridge config is synchronised
2025/07/31 17:43:27 Bridge config is synchronised
2025/07/31 17:43:57 Bridge config is synchronised
2025/07/31 17:44:27 Bridge config is synchronised
2025/07/31 17:44:57 Bridge config is synchronised
2025/07/31 17:45:27 Bridge config is synchronised
2025/07/31 17:45:57 Bridge config is synchronised
2025/07/31 17:46:27 Bridge config is synchronised
2025/07/31 17:46:57 Bridge config is synchronised
2025/07/31 17:47:27 Bridge config is synchronised
2025/07/31 17:47:57 Bridge config is synchronised
2025/07/31 17:48:27 Bridge config is synchronised
2025/07/31 17:48:57 Bridge config is synchronised
2025/07/31 17:49:27 Bridge config is synchronised
2025/07/31 17:49:57 Bridge config is synchronised
2025/07/31 17:50:27 Bridge config is synchronised
2025/07/31 17:50:57 Bridge config is synchronised
2025/07/31 17:51:27 Bridge config is synchronised
2025/07/31 17:51:57 Bridge config is synchronised
2025/07/31 17:52:27 Bridge config is synchronised
2025/07/31 17:52:57 Bridge config is synchronised
2025/07/31 17:53:27 Bridge config is synchronised
2025/07/31 17:53:57 Bridge config is synchronised
2025/07/31 17:54:27 Bridge config is synchronised
2025/07/31 17:54:57 Bridge config is synchronised
2025/07/31 17:55:27 Bridge config is synchronised
2025/07/31 17:55:57 Bridge config is synchronised
2025/07/31 17:56:27 Bridge config is synchronised
2025/07/31 17:56:57 Bridge config is synchronised
2025/07/31 17:57:27 Bridge config is synchronised
2025/07/31 17:57:57 Bridge config is synchronised
2025/07/31 17:58:27 Bridge config is synchronised
2025/07/31 17:58:57 Bridge config is synchronised
2025/07/31 17:59:27 Bridge config is synchronised
2025/07/31 17:59:57 Bridge config is synchronised
2025/07/31 18:00:27 Bridge config is synchronised
2025/07/31 18:00:57 Bridge config is synchronised
2025/07/31 18:01:27 Bridge config is synchronised
2025/07/31 18:01:57 Bridge config is synchronised
2025/07/31 18:02:27 Bridge config is synchronised
2025/07/31 18:02:57 Bridge config is synchronised
2025/07/31 18:03:27 Bridge config is synchronised
2025/07/31 18:03:57 Bridge config is synchronised
